index,s,t,p,e,c
1,810,810,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
2,7143,7143,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
3,10067,10067,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
4,9693,9693,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
5,5998,5998,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
6,11557,11557,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
7,475,475,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
8,6033,6033,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
9,3419,3419,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
10,4491,4491,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
11,2335,2335,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
12,9846,9846,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
13,3843,3843,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
14,9692,9692,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
15,5128,5128,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
16,5654,5654,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
17,8532,8532,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
18,8167,8167,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
19,4121,4121,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
20,2868,2868,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
21,9785,9785,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
22,5387,5387,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
23,5358,5358,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
24,2468,2468,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
25,388,388,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
26,4213,4213,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
27,9873,9873,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
28,10575,10575,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
29,12149,12149,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
30,1781,1781,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
31,3800,3800,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
32,10985,10985,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
33,2051,2051,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
34,6130,6130,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
35,11800,11800,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
36,6321,6321,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
37,812,812,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
38,3285,3285,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
39,8670,8670,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
40,12236,12236,6,[1.       1.8      2.43     2.916    3.2805   3.54294  3.720087],6
