index,s,t,et
1,5345,10857,1
2,8190,10835,1
3,7697,12153,2
4,6261,3571,3
5,1185,9749,3
6,293,1946,4
7,1230,7696,4
8,9351,1885,5
9,623,3531,5
10,2619,6683,5
11,810,374,6
12,8134,1418,6
13,1020,7509,6
14,1808,5011,6
15,263,10585,6
16,1890,12249,6
17,3844,9436,7
18,2165,383,7
19,10940,4089,7
20,3808,10635,7
21,11167,3571,7
22,5587,7618,8
23,9610,6261,10
24,4155,4510,11
25,10347,11458,11
26,5488,10777,12
27,9443,10480,12
28,8347,6407,12
29,4878,10665,12
30,963,6600,12
31,1491,929,13
32,2931,10229,14
33,8609,6733,14
34,11655,4898,14
35,11629,793,15
36,9724,4098,16
37,4655,5560,16
38,12176,9428,16
39,26,7199,17
40,5549,7992,17
41,1635,3438,17
42,7980,10202,17
43,2951,11021,18
44,3473,8358,18
45,4019,8046,18
46,10254,523,19
47,10197,2316,20
48,8484,1189,20
49,5699,2534,21
50,11787,680,21
