index,s,t,et
1,19270,26884,0
2,22003,33519,0
3,6869,8732,0
4,8220,15447,0
5,24226,31676,0
6,17,28755,0
7,14408,9619,1
8,11982,6066,1
9,20675,14135,1
10,1108,31996,1
11,16718,27744,1
12,2793,20763,1
13,1903,27884,2
14,23919,13078,2
15,17818,25610,2
16,29768,11525,2
17,14249,23397,2
18,7935,15262,3
19,29928,2527,3
20,29030,30195,3
21,22626,25565,3
22,5637,8521,4
23,12379,17796,4
24,26696,11623,4
25,19588,31697,4
26,27001,25911,4
27,8796,18633,4
28,30463,10967,4
29,6071,6265,4
30,774,12857,5
31,21470,31365,5
32,26273,23665,5
33,15881,16211,6
34,7039,15543,6
35,13962,22385,6
36,15192,27746,6
37,21590,15369,6
38,13434,20763,6
39,17116,18533,7
40,11352,20978,7
41,2553,4484,7
42,15636,18633,7
43,6439,4657,7
44,26318,24038,7
45,18533,20013,7
46,30955,1395,7
47,20351,8353,7
48,3320,2937,8
49,7350,5537,8
50,11395,28133,8
51,977,21203,8
52,25565,29292,8
53,25851,23615,8
54,20413,32979,8
55,19994,19019,8
56,18069,31880,8
57,26604,7988,9
58,20144,28101,9
59,24358,1041,9
60,15190,23216,10
61,25586,438,10
62,19534,15493,10
63,28563,7031,10
64,4813,10051,10
65,3493,3100,10
66,20247,26285,11
67,1303,8564,11
68,8336,15932,11
69,7038,1517,11
70,2244,5769,11
71,22506,10478,11
72,11282,24319,11
73,24474,22466,12
74,1608,25205,12
75,19600,15543,12
76,29245,3293,12
77,21238,25086,13
78,27414,31785,13
79,22934,13353,13
80,26909,9726,14
81,29245,20786,14
82,10785,13227,14
83,11787,33571,14
84,29464,13401,14
85,8518,24257,15
86,31052,22776,15
87,478,3061,15
88,3489,18194,15
89,15794,10199,15
90,6470,28920,16
91,18801,2937,16
92,7941,24764,16
93,19188,9585,16
94,15451,17288,16
95,27302,10364,16
96,22489,17713,16
97,1913,3320,17
98,30519,6081,17
99,1752,20773,17
100,4153,22626,17
101,17131,16585,18
102,17773,16752,18
103,33039,22828,18
104,33571,21570,18
105,31347,20093,18
106,23722,25436,19
107,19710,15927,19
108,21636,8732,19
109,22789,7225,19
110,16422,12534,19
111,32126,27198,20
112,9006,6565,20
113,25115,6617,20
114,5642,15801,20
115,28637,19534,20
116,7083,5593,20
117,27031,20256,20
118,23917,16682,20
119,28605,22302,20
120,4835,17748,20
121,30580,1499,21
122,16004,21905,21
123,12872,3193,21
124,24619,20287,21
125,33455,22481,22
126,28009,2784,22
127,19683,14724,22
128,2521,21856,23
129,7784,17457,23
130,13926,11119,24
131,18358,20677,25
132,32516,15701,25
133,27883,18679,25
134,25378,24723,25
135,24037,3573,25
136,1041,28226,25
137,5293,11581,26
138,5414,30889,26
139,1609,13722,26
140,18499,566,26
141,5626,14022,26
142,20762,19902,26
143,17908,7816,26
144,27888,12356,26
145,18710,14016,27
146,23449,14059,27
147,10525,20044,27
148,12792,11351,28
149,28725,5430,28
