index,s,t,et
1,108984,71088,0
2,9030,13449,0
3,130576,333494,0
4,20786,154267,0
5,267058,325209,0
6,247249,90503,0
7,227459,72411,0
8,19723,44570,0
9,95354,147312,0
10,145886,163976,0
11,134681,245704,2
12,42766,33821,2
13,200022,337431,2
14,257073,200833,2
15,56598,221205,2
16,31504,85291,4
17,88715,146784,4
18,43411,326049,4
19,139835,332534,4
20,276125,201078,4
21,164164,132845,4
22,108981,128917,4
23,316197,211937,4
24,28622,289429,6
25,287949,278913,6
26,287944,200833,6
27,279343,94230,6
28,200984,107377,6
29,187067,113235,6
30,254657,21047,6
31,192419,340702,6
32,254910,228804,6
33,303181,263253,6
34,282342,315923,6
35,185271,162861,6
36,324621,124821,6
37,44265,32775,6
38,102035,179328,6
39,56499,28328,6
40,255524,168307,6
41,6035,76852,8
42,336427,176799,8
43,137410,253754,8
44,187202,132482,8
45,136329,245125,8
46,276871,236056,8
47,157477,234968,8
48,344741,204263,8
49,110719,281936,8
50,275460,157632,8
51,95903,261693,8
52,158732,172991,8
53,117607,243094,8
54,49238,179742,8
55,304212,12089,10
56,73549,192057,10
57,115596,94708,10
58,274996,79384,10
59,283854,137848,10
60,82199,38567,12
61,209025,196868,12
62,221428,88029,12
63,39509,268107,12
64,51215,156756,14
65,35984,93917,14
66,53293,71254,14
67,68238,277040,14
68,3694,122579,14
69,334441,254986,14
70,200192,288333,14
71,254571,182215,14
72,60123,23155,16
73,177020,3364,16
74,191972,89834,16
75,176364,260422,16
76,30471,269584,16
77,39682,200816,16
78,108982,119615,16
79,327236,256639,18
80,36500,9370,18
81,273671,239096,18
82,251512,324377,18
83,49900,218740,18
84,43779,152505,18
85,62119,8864,18
86,311625,192787,18
87,338357,289371,20
88,53032,234834,20
89,180669,325005,20
90,7271,303273,20
91,33321,270304,20
92,307936,213249,20
93,145294,287137,20
94,279159,168848,20
95,21864,168459,20
96,194675,60768,20
97,201598,227196,22
98,21258,228859,22
99,138638,43155,22
100,64896,38990,22
101,126270,116151,22
102,31957,180725,22
103,248029,138116,22
104,9275,297430,22
105,215700,234697,22
106,228615,157760,22
107,21311,21588,24
108,148611,321503,24
109,107859,51041,24
110,285791,64238,24
111,259528,158369,24
112,161602,70796,24
113,86488,12570,24
114,319120,1198,24
115,119346,341577,24
116,268859,175356,24
117,146703,27248,26
118,105083,109292,26
119,235557,26702,26
120,311935,292922,26
121,123381,139490,26
122,66777,321046,26
123,168742,108286,26
124,290799,158847,26
125,178739,274339,28
126,9575,120427,28
127,43477,259256,28
128,323793,11541,28
129,295260,201303,28
130,16616,11069,28
131,162977,165327,30
132,336363,319451,30
133,198811,40500,30
134,139249,208248,30
135,187613,308866,30
136,358,56438,30
137,192709,56880,30
138,129888,263895,32
139,19220,116290,32
140,29040,139392,32
141,89635,198316,32
142,57928,296905,32
143,27584,333286,34
144,173303,337726,34
145,281652,177513,34
146,268332,267802,34
147,41582,229675,34
148,9030,289982,34
149,258292,78248,34
150,57832,46967,34
151,180526,162376,34
152,341486,47593,34
153,138415,170080,34
154,67489,82402,36
155,74397,137174,36
156,178604,91781,36
157,14343,123472,36
158,51497,229495,36
159,31925,115757,36
160,342309,335808,38
161,153269,291156,38
162,258544,260122,38
163,160550,214996,38
164,245184,204860,38
165,197462,170214,38
166,322871,211197,38
167,44877,247655,38
168,66398,213883,38
169,283641,205472,38
170,141957,216180,38
171,185270,123002,38
172,199259,200192,38
173,334274,302663,38
174,204807,171768,40
175,8071,203733,40
176,127140,26691,40
177,304293,87216,40
178,143576,101027,40
179,324716,192419,42
180,94875,7072,42
181,194692,314115,42
182,272336,112104,42
183,236328,11926,42
184,106987,132985,42
185,223492,64896,42
186,50053,348562,42
187,211380,60548,42
188,217851,297539,42
189,228289,94432,42
190,52935,83952,42
191,207070,109510,42
192,172749,65793,42
193,163818,59071,42
194,212689,117157,42
195,66304,103696,44
196,229395,228739,44
197,263570,204134,44
198,105327,232978,44
199,184027,117112,44
200,161661,250547,44
201,30426,153610,46
202,347218,110856,46
203,8977,287420,46
204,207848,345709,46
205,201934,22528,46
206,146186,129648,48
207,38097,211407,48
208,168290,109768,48
209,282632,126680,48
210,24488,292904,48
211,291072,30891,48
212,241591,124418,48
213,107058,305348,48
214,326322,236140,48
215,157839,5342,48
216,60688,220154,50
217,150443,197562,50
218,272207,76116,50
219,236465,300206,50
220,346174,60039,50
221,270152,154849,50
222,74433,87691,50
223,122453,198127,50
224,173870,70124,52
225,297343,281470,52
226,250639,158507,52
227,323440,239096,52
228,96495,93805,52
229,253572,347862,52
230,95359,241511,52
231,90969,103305,52
232,40629,50800,52
233,19349,119271,52
234,232102,143657,54
235,67498,98955,54
236,270901,340722,54
237,297484,315088,54
238,47643,48770,54
239,255683,6145,54
240,301496,257373,54
241,191675,228698,56
242,171514,203842,56
243,35102,232725,56
244,71885,171912,56
245,176203,343146,56
246,30197,229173,56
247,18954,255191,56
248,83436,88849,56
249,320542,28118,56
250,76252,108981,56
251,82837,72441,56
252,327925,70286,56
253,200908,53352,56
254,242444,238701,58
255,146949,50222,58
256,188808,6220,58
257,89065,62936,58
258,7773,270697,58
259,133371,295767,58
260,37387,57594,58
261,226803,294794,58
262,77145,50160,58
263,289037,117112,58
264,259311,48765,58
265,108485,268680,60
266,67323,253399,60
267,291060,210343,60
268,9030,13449,60
269,197479,177195,60
270,275453,135895,60
271,151268,277853,60
272,114882,186272,60
273,259185,340418,60
274,128389,258209,60
275,4622,237968,60
276,122960,282804,62
277,106987,255606,62
278,114696,42976,62
279,147293,144258,62
280,278229,87174,64
281,15806,240100,64
282,284768,18458,64
283,288194,69100,64
284,346911,225809,64
285,111754,348480,64
286,269472,20093,64
287,285701,98516,64
288,242231,84806,64
289,20103,29915,64
290,63437,349409,66
291,139801,50442,66
292,147796,181411,66
293,282588,75111,66
294,23025,198674,66
295,166122,219852,66
296,227430,317780,66
297,233712,182602,66
298,7038,200066,66
299,259228,89893,68
300,72504,218288,68
301,19812,91689,68
302,1146,256875,68
303,146461,105298,68
304,322285,116470,68
305,163181,270351,68
306,18353,76965,68
307,59745,91781,68
308,128699,131418,68
309,42533,162994,68
310,242727,287158,68
311,35945,134024,68
312,32675,141283,68
313,28733,163295,70
314,109961,307696,70
315,263353,252122,70
316,64017,334161,70
317,76297,188824,70
318,255889,107347,72
319,320529,237310,72
320,335300,147409,72
321,49321,225482,72
322,124821,337346,72
323,327233,80702,72
324,86609,30401,72
325,31752,9891,72
326,165813,348753,72
327,124097,306848,74
328,65767,106967,74
329,208544,142773,74
330,120224,42540,74
331,237195,240503,74
332,76709,245548,74
333,275217,331288,74
334,1671,34275,74
335,229996,298545,74
336,228925,297968,74
337,62396,338084,74
338,193830,332614,74
339,79016,131499,76
340,110101,118184,76
341,70243,36099,76
342,319594,255787,76
343,301753,97048,76
344,343926,242503,76
345,163820,47209,76
346,46961,71479,78
347,76852,221356,78
348,199837,103089,78
349,53241,165541,78
350,277036,21733,78
351,157574,100100,78
352,143830,174073,78
353,293881,350662,78
354,304794,229912,78
355,217698,258908,78
356,337200,129232,78
357,73209,38738,78
358,33983,328308,78
359,335269,217034,80
360,58496,25494,80
361,186284,321792,80
362,84982,34000,80
363,267341,146948,80
364,213134,58581,80
365,245246,181854,80
366,256839,42560,80
367,119130,291072,80
368,279323,235953,80
369,128603,306834,82
370,294510,47592,82
371,273520,153176,82
372,125106,85751,82
373,274629,100190,82
374,118120,266275,82
375,74654,330546,82
376,236832,209747,82
377,217334,342295,82
378,184287,340561,82
379,157852,196489,82
380,311611,17960,82
381,109241,122378,84
382,146731,20417,84
383,10656,310018,84
384,103993,284913,84
385,177967,48388,84
386,213527,209894,84
387,245829,344453,84
388,113018,335218,84
389,282538,260595,84
390,344443,251339,84
391,107523,347636,84
392,238399,45138,86
393,311156,101862,86
394,81042,48648,86
395,115297,288446,86
396,68336,258373,86
397,62596,31393,86
398,143101,179196,86
399,35979,271435,86
400,300495,163148,86
401,204089,161448,88
402,197083,148943,88
403,185676,289877,88
404,211043,184746,88
405,256002,180383,88
406,78076,175942,88
407,186182,267407,88
408,180860,142791,88
409,307097,102656,88
410,268188,67012,88
411,64444,290028,90
412,213091,94376,90
413,325434,3677,90
414,63479,117917,90
415,144595,257877,90
416,85486,103697,90
417,177866,254320,90
418,42669,238865,92
419,83017,28647,92
420,253600,290088,92
421,281380,258702,92
422,210289,228738,92
423,27959,132228,92
424,171603,277499,92
425,85237,106794,92
426,11926,149398,92
427,78005,176103,92
428,60505,253853,94
429,270760,287751,94
430,276923,146351,94
431,110377,329826,94
432,114273,42680,94
433,60216,225998,94
434,264605,335062,94
