index,s,t,et
1,32306,27428,0
2,98601,56619,0
3,143505,136211,0
4,50736,8435,0
5,131820,225566,0
6,326322,263249,0
7,279731,101627,0
8,127283,183775,0
9,108984,71088,0
10,9030,13449,0
11,130576,333494,0
12,20786,154267,0
13,267058,325209,0
14,247249,90503,0
15,227459,72411,0
16,19723,44570,0
17,95354,147312,0
18,145886,163976,0
19,134681,245704,0
20,42766,33821,0
21,200022,337431,0
22,257073,200833,0
23,56598,221205,0
24,31504,85291,1
25,88715,146784,1
26,43411,326049,1
27,139835,332534,1
28,276125,201078,1
29,164164,132845,1
30,108981,128917,1
31,316197,211937,1
32,28622,289429,1
33,287949,278913,1
34,287944,200833,1
35,279343,94230,1
36,200984,107377,1
37,187067,113235,1
38,254657,21047,1
39,192419,340702,1
40,254910,228804,1
41,303181,263253,1
42,282342,315923,1
43,185271,162861,1
44,324621,124821,1
45,44265,32775,1
46,102035,179328,1
47,56499,28328,1
48,255524,168307,1
49,6035,76852,2
50,336427,176799,2
51,137410,253754,2
52,187202,132482,2
53,136329,245125,2
54,276871,236056,2
55,157477,234968,2
56,344741,204263,2
57,110719,281936,2
58,275460,157632,2
59,95903,261693,2
60,158732,172991,2
61,117607,243094,2
62,49238,179742,2
63,304212,12089,2
64,73549,192057,2
65,115596,94708,2
66,274996,79384,2
67,283854,137848,2
68,82199,38567,3
69,209025,196868,3
70,221428,88029,3
71,39509,268107,3
72,51215,156756,3
73,35984,93917,3
74,53293,71254,3
75,68238,277040,3
76,3694,122579,3
77,334441,254986,3
78,200192,288333,3
79,254571,182215,3
80,60123,23155,4
81,177020,3364,4
82,191972,89834,4
83,176364,260422,4
84,30471,269584,4
85,39682,200816,4
86,108982,119615,4
87,327236,256639,4
88,36500,9370,4
89,273671,239096,4
90,251512,324377,4
91,49900,218740,4
92,43779,152505,4
93,62119,8864,4
94,311625,192787,4
95,338357,289371,5
96,53032,234834,5
97,180669,325005,5
98,7271,303273,5
99,33321,270304,5
100,307936,213249,5
101,145294,287137,5
102,279159,168848,5
103,21864,168459,5
104,194675,60768,5
105,201598,227196,5
106,21258,228859,5
107,138638,43155,5
