index,s,t,et
1,108984,71088,0
2,9030,13449,0
3,130576,333494,0
4,20786,154267,0
5,267058,325209,0
6,247249,90503,0
7,227459,72411,0
8,19723,44570,0
9,95354,147312,0
10,145886,163976,0
11,134681,245704,1
12,42766,33821,1
13,200022,337431,1
14,257073,200833,1
15,56598,221205,1
16,31504,85291,2
17,88715,146784,2
18,43411,326049,2
19,139835,332534,2
20,276125,201078,2
21,164164,132845,2
22,108981,128917,2
23,316197,211937,2
24,28622,289429,3
25,287949,278913,3
26,287944,200833,3
27,279343,94230,3
28,200984,107377,3
29,187067,113235,3
30,254657,21047,3
31,192419,340702,3
32,254910,228804,3
33,303181,263253,3
34,282342,315923,3
35,185271,162861,3
36,324621,124821,3
37,44265,32775,3
38,102035,179328,3
39,56499,28328,3
40,255524,168307,3
41,6035,76852,4
42,336427,176799,4
43,137410,253754,4
44,187202,132482,4
45,136329,245125,4
46,276871,236056,4
47,157477,234968,4
48,344741,204263,4
49,110719,281936,4
50,275460,157632,4
51,95903,261693,4
52,158732,172991,4
53,117607,243094,4
54,49238,179742,4
55,304212,12089,5
56,73549,192057,5
57,115596,94708,5
58,274996,79384,5
59,283854,137848,5
60,82199,38567,6
61,209025,196868,6
62,221428,88029,6
63,39509,268107,6
64,51215,156756,7
65,35984,93917,7
66,53293,71254,7
67,68238,277040,7
68,3694,122579,7
69,334441,254986,7
70,200192,288333,7
71,254571,182215,7
72,60123,23155,8
73,177020,3364,8
74,191972,89834,8
75,176364,260422,8
76,30471,269584,8
77,39682,200816,8
78,108982,119615,8
79,327236,256639,9
80,36500,9370,9
81,273671,239096,9
82,251512,324377,9
83,49900,218740,9
84,43779,152505,9
85,62119,8864,9
86,311625,192787,9
87,338357,289371,10
88,53032,234834,10
89,180669,325005,10
90,7271,303273,10
91,33321,270304,10
92,307936,213249,10
93,145294,287137,10
94,279159,168848,10
95,21864,168459,10
96,194675,60768,10
97,201598,227196,11
98,21258,228859,11
99,138638,43155,11
100,64896,38990,11
101,126270,116151,11
102,31957,180725,11
103,248029,138116,11
104,9275,297430,11
105,215700,234697,11
106,228615,157760,11
107,21311,21588,12
108,148611,321503,12
109,107859,51041,12
110,285791,64238,12
111,259528,158369,12
112,161602,70796,12
113,86488,12570,12
114,319120,1198,12
115,119346,341577,12
116,268859,175356,12
117,146703,27248,13
118,105083,109292,13
119,235557,26702,13
120,311935,292922,13
121,123381,139490,13
122,66777,321046,13
123,168742,108286,13
124,290799,158847,13
125,178739,274339,14
126,9575,120427,14
127,43477,259256,14
128,323793,11541,14
129,295260,201303,14
130,16616,11069,14
131,162977,165327,15
132,336363,319451,15
133,198811,40500,15
134,139249,208248,15
135,187613,308866,15
136,358,56438,15
137,192709,56880,15
138,129888,263895,16
139,19220,116290,16
140,29040,139392,16
141,89635,198316,16
142,57928,296905,16
143,27584,333286,17
144,173303,337726,17
145,281652,177513,17
146,268332,267802,17
147,41582,229675,17
148,9030,289982,17
149,258292,78248,17
150,57832,46967,17
151,180526,162376,17
152,341486,47593,17
153,138415,170080,17
154,67489,82402,18
155,74397,137174,18
156,178604,91781,18
157,14343,123472,18
158,51497,229495,18
159,31925,115757,18
160,342309,335808,19
161,153269,291156,19
162,258544,260122,19
163,160550,214996,19
164,245184,204860,19
165,197462,170214,19
166,322871,211197,19
167,44877,247655,19
168,66398,213883,19
169,283641,205472,19
170,141957,216180,19
171,185270,123002,19
172,199259,200192,19
173,334274,302663,19
174,204807,171768,20
175,8071,203733,20
176,127140,26691,20
177,304293,87216,20
178,143576,101027,20
179,324716,192419,21
180,94875,7072,21
181,194692,314115,21
182,272336,112104,21
183,236328,11926,21
184,106987,132985,21
185,223492,64896,21
186,50053,348562,21
187,211380,60548,21
188,217851,297539,21
189,228289,94432,21
190,52935,83952,21
191,207070,109510,21
192,172749,65793,21
193,163818,59071,21
194,212689,117157,21
195,66304,103696,22
196,229395,228739,22
197,263570,204134,22
198,105327,232978,22
199,184027,117112,22
200,161661,250547,22
201,30426,153610,23
202,347218,110856,23
203,8977,287420,23
204,207848,345709,23
205,201934,22528,23
206,146186,129648,24
207,38097,211407,24
208,168290,109768,24
209,282632,126680,24
210,24488,292904,24
211,291072,30891,24
212,241591,124418,24
213,107058,305348,24
214,326322,236140,24
215,157839,5342,24
216,60688,220154,25
217,150443,197562,25
218,272207,76116,25
219,236465,300206,25
220,346174,60039,25
221,270152,154849,25
222,74433,87691,25
223,122453,198127,25
224,173870,70124,26
225,297343,281470,26
226,250639,158507,26
227,323440,239096,26
228,96495,93805,26
229,253572,347862,26
230,95359,241511,26
231,90969,103305,26
232,40629,50800,26
233,19349,119271,26
234,232102,143657,27
235,67498,98955,27
236,270901,340722,27
237,297484,315088,27
238,47643,48770,27
239,255683,6145,27
240,301496,257373,27
241,191675,228698,28
242,171514,203842,28
243,35102,232725,28
244,71885,171912,28
245,176203,343146,28
246,30197,229173,28
247,18954,255191,28
248,83436,88849,28
249,320542,28118,28
250,76252,108981,28
251,82837,72441,28
252,327925,70286,28
253,200908,53352,28
254,242444,238701,29
255,146949,50222,29
256,188808,6220,29
257,89065,62936,29
258,7773,270697,29
259,133371,295767,29
260,37387,57594,29
261,226803,294794,29
262,77145,50160,29
263,289037,117112,29
264,259311,48765,29
265,108485,268680,30
266,67323,253399,30
267,291060,210343,30
268,9030,13449,30
269,197479,177195,30
270,275453,135895,30
271,151268,277853,30
272,114882,186272,30
273,259185,340418,30
274,128389,258209,30
275,4622,237968,30
276,122960,282804,31
277,106987,255606,31
278,114696,42976,31
279,147293,144258,31
280,278229,87174,32
281,15806,240100,32
282,284768,18458,32
283,288194,69100,32
284,346911,225809,32
285,111754,348480,32
286,269472,20093,32
287,285701,98516,32
288,242231,84806,32
289,20103,29915,32
290,63437,349409,33
291,139801,50442,33
292,147796,181411,33
293,282588,75111,33
294,23025,198674,33
295,166122,219852,33
296,227430,317780,33
297,233712,182602,33
298,7038,200066,33
299,259228,89893,34
300,72504,218288,34
301,19812,91689,34
302,1146,256875,34
303,146461,105298,34
304,322285,116470,34
305,163181,270351,34
306,18353,76965,34
307,59745,91781,34
308,128699,131418,34
309,42533,162994,34
310,242727,287158,34
311,35945,134024,34
312,32675,141283,34
313,28733,163295,35
314,109961,307696,35
315,263353,252122,35
316,64017,334161,35
317,76297,188824,35
318,255889,107347,36
319,320529,237310,36
320,335300,147409,36
321,49321,225482,36
322,124821,337346,36
323,327233,80702,36
324,86609,30401,36
325,31752,9891,36
326,165813,348753,36
327,124097,306848,37
328,65767,106967,37
329,208544,142773,37
330,120224,42540,37
331,237195,240503,37
332,76709,245548,37
333,275217,331288,37
334,1671,34275,37
335,229996,298545,37
336,228925,297968,37
337,62396,338084,37
338,193830,332614,37
339,79016,131499,38
340,110101,118184,38
341,70243,36099,38
342,319594,255787,38
343,301753,97048,38
344,343926,242503,38
345,163820,47209,38
346,46961,71479,39
347,76852,221356,39
348,199837,103089,39
349,53241,165541,39
350,277036,21733,39
351,157574,100100,39
352,143830,174073,39
353,293881,350662,39
354,304794,229912,39
355,217698,258908,39
356,337200,129232,39
357,73209,38738,39
358,33983,328308,39
359,335269,217034,40
360,58496,25494,40
361,186284,321792,40
362,84982,34000,40
363,267341,146948,40
364,213134,58581,40
365,245246,181854,40
366,256839,42560,40
367,119130,291072,40
368,279323,235953,40
369,128603,306834,41
370,294510,47592,41
371,273520,153176,41
372,125106,85751,41
373,274629,100190,41
374,118120,266275,41
375,74654,330546,41
376,236832,209747,41
377,217334,342295,41
378,184287,340561,41
379,157852,196489,41
380,311611,17960,41
381,109241,122378,42
382,146731,20417,42
383,10656,310018,42
384,103993,284913,42
385,177967,48388,42
386,213527,209894,42
387,245829,344453,42
388,113018,335218,42
389,282538,260595,42
390,344443,251339,42
391,107523,347636,42
392,238399,45138,43
393,311156,101862,43
394,81042,48648,43
395,115297,288446,43
396,68336,258373,43
397,62596,31393,43
398,143101,179196,43
399,35979,271435,43
400,300495,163148,43
401,204089,161448,44
402,197083,148943,44
403,185676,289877,44
404,211043,184746,44
405,256002,180383,44
406,78076,175942,44
407,186182,267407,44
408,180860,142791,44
409,307097,102656,44
410,268188,67012,44
411,64444,290028,45
412,213091,94376,45
413,325434,3677,45
414,63479,117917,45
415,144595,257877,45
416,85486,103697,45
417,177866,254320,45
418,42669,238865,46
419,83017,28647,46
420,253600,290088,46
421,281380,258702,46
422,210289,228738,46
423,27959,132228,46
424,171603,277499,46
425,85237,106794,46
426,11926,149398,46
427,78005,176103,46
428,60505,253853,47
429,270760,287751,47
430,276923,146351,47
431,110377,329826,47
432,114273,42680,47
433,60216,225998,47
434,264605,335062,47
