index,s,t,p,e,c
1,810,810,9,"[1.         1.8        2.43       2.916      3.2805     3.54294
 3.720087   3.8263752  3.87420489 3.87420489 3.83546284]",10
2,7143,7143,9,"[1.         1.8        2.43       2.916      3.2805     3.54294
 3.720087   3.8263752  3.87420489 3.87420489 3.83546284]",10
3,10067,10067,9,"[1.         1.8        2.43       2.916      3.2805     3.54294
 3.720087   3.8263752  3.87420489 3.87420489 3.83546284]",10
4,9693,9693,9,"[1.         1.8        2.43       2.916      3.2805     3.54294
 3.720087   3.8263752  3.87420489 3.87420489 3.83546284]",10
5,5998,5998,9,"[1.         1.8        2.43       2.916      3.2805     3.54294
 3.720087   3.8263752  3.87420489 3.87420489 3.83546284]",10
6,11557,11557,9,"[1.         1.8        2.43       2.916      3.2805     3.54294
 3.720087   3.8263752  3.87420489 3.87420489 3.83546284]",10
7,475,475,9,"[1.         1.8        2.43       2.916      3.2805     3.54294
 3.720087   3.8263752  3.87420489 3.87420489 3.83546284]",10
8,6033,6033,9,"[1.         1.8        2.43       2.916      3.2805     3.54294
 3.720087   3.8263752  3.87420489 3.87420489 3.83546284]",10
9,3419,3419,9,"[1.         1.8        2.43       2.916      3.2805     3.54294
 3.720087   3.8263752  3.87420489 3.87420489 3.83546284]",10
10,4491,4491,9,"[1.         1.8        2.43       2.916      3.2805     3.54294
 3.720087   3.8263752  3.87420489 3.87420489 3.83546284]",10
